#{"t_start": 1553770301.462264, "env_id": "Snake-v0"}
r,l,t
-10.2,73,123.505077
-10.3,6,123.535655
-9.7,4,123.555944
-10.4,89,126.305263
-9.8,21,126.449492
-10,1,126.455474
-10.2,5,126.481339
-10.1,2,126.491906
-9.8,37,126.70931
-9.9,10,126.769665
-10.1,14,128.925338
-0.1,85,129.491888
-10,1,129.497024
-9.6,25,129.637461
-10,1,129.645091
-9.7,60,131.816561
-10.1,12,131.899783
-10,1,131.906446
-10.0,21,132.048387
10.2,47,132.30511
0.4,72,134.700871
0.1,123,137.064301
-10.0,15,137.134094
-10.2,35,137.290033
-10.4,35,139.135988
-9.4,107,141.166964
-10,1,141.172013
-10,1,141.176144
-10.5,32,141.330693
-10.3,48,141.54233
-10.1,2,141.55211
-10.1,46,143.348858
-10.8,13,143.409784
-10.3,36,14-10.7,224,143.865537
-10.2,49,145.841858
-10.8,231,150.109377
-10.2,33,150.262718
-8.6,37,150.4313
-9.8,29,150.556021
-10.1,160,154.560668
-9.920.4,166,155.149008
-10.3,40,156.984268
0.2,800,169.966705
-9.8,219,173.946427
10.8,29,174.097384
20.5,225,178.019153
-9.3,194,180.225905
-11.1,190,183.884309
-10,1,183.888414
10.7,262,187.879604
-9.5,10,187.926389
0.0,676,197.775709
-10.1,20,197.856435
-9.9,240,201.680489
-9.9,2,201.688599
-10.2,71,203.346036
-10.7,264,207.135843
20.9,91,207.502388
-9.9,54,209.074989
-10.3,558,216.938169
-10.1,2,216.946346
-10.2,3,216.957662
-10.1,4,216.973023
-10.5,406,222.695706
-10.1,92,224.638503
-10,1,224.646253
31.8,135,226.71612
9.8,415,232.486928
-10.4,5,232.506681
-0.2,536,241.608998
10.1,746,251.881972
31.8,125,254.043283
32.6,3015,302.839049
-10.1,2,302.846815
-10.1,2,302.856741
-9.2,387,308.544238
10.9,648,318.229477
-10.6,1359,339.023933
-10.1,2,339.032244
-10.2,857,350.874433
-9.6,1221,371.849781
43.1,493,381.161138
0.0,1358,400.688105
0.9,1115,417.498351
-10,1,417.502759
-9.9,2,417.511348
21.0,92,419.247178
-10,1,419.251681
0.3,101,421.014841
-9.8,255,424.771072
0.8,26,424.874748
-10.1,52,425.079127
-9.4,13,425.130354
-10.0,397,432.161755
20.9,97,432.55419
-10.1,14,432.611928
-10.6,7,432.640939
-10.2,3,432.653018
1.1,1151,450.006253
-0.1,259,453.767405
0.1,9,455.164925
0.2,228,457.418211
-10.1,20,457.498751
0.3,39,459.01089
11.6,291,462.88712
-9.2,151,464.959702
0.3,25,465.087214
-9.3,46,466.704865
19.6,102,468.477865
-0.1,51,468.688304
-10.0,177,470.759041
-10.2,25,472.217624
-10.8,469,478.208289
20.5,25,478.309346
-9.9,34,479.806631
-10.1,54,480.025649
11.4,65,481.637902
-10.3,120,483.465511
-9.9,2,483.473896
0.8,90,483.829047
-10.2,251,487.55892
-9.8,83,489.244934
11.5,256,493.199728
0.5,15,493.263036
0.8,54,493.484659
-10.5,374,499.070234
-11.0,219,502.686726
1.5,655,512.242414
21.8,130,514.113534
-10.7,1268,532.630327
9.8,347,538.216879
11.3,528,546.14127
-9.2,331,551.763205
-10.1,652,561.493342
31.6,451,567.636552
-10.3,564,577.059131
0.3,35,577.215448
-0.6,340,581.529912
0.9,1395,602.875396
12.2,65,604.548768
21.8,574,612.694306
-10.3,4,612.710671
-10.0,9,612.74731
-10.1,10,614.151381
-10.4,35,614.296861
0.3,15,614.357701
-9.4,13,614.41152
0.3,243,618.142554
-9.4,329,622.25782
-9.7,672,633.710119
-9.4,23,633.810606
-0.1,221,637.582325
0.2,86,637.962652
43.5,385,643.858014
11.2,337,649.253856
-10.0,9,649.290964
-10.1,8,649.32286
-9.8,19,649.403076
0.2,1020,665.053148
-10.0,243,669.017474
-9.3,16,669.084899
22.3,61,670.723754
0.2,496,678.483958
-10.1,578,686.510548
-10.1,4,686.527085
-9.5,10,686.568411
-10.2,31,686.696855
11.0,31,688.184932
-10.4,51,688.385755
-9.4,55,689.961588
-0.3,39,690.116271
-10,1,690.121294
-9.4,9,690.158053
-10.2,115,691.968855
11.3,150,693.924604
-10.0,3,693.936894
-9.5,62,694.182285
21.0,104,695.950496
-0.2,6,695.974715
11.6,245,699.747471
32.0,97,701.535759
0.3,17,701.606315
0.4,30,701.725673
0.9,29,703.214168
-9.6,73,703.523143
0.7,131,705.438845
12.3,162,707.521846
-10.5,182,711.148223
-10.3,4,711.164916
-10.1,2,711.174294
-10.1,2,711.184884
-10.1,2,711.195496
-10.1,84,712.898647
11.5,148,714.953371
-9.9,14,715.012261
-9.5,144,716.992429
31.7,104,718.817538
11.4,115,720.766931
-10.0,3,720.782788
11.2,75,721.132622
-10.4,95,722.984852
-10.4,57,724.684221
-10.7,8,724.718322
-10.2,195,726.929988
-10,1,726.935237
-10.1,10,726.976833
0.8,308,732.571524
0.3,113,733.051389
-10.2,143,736.508187
-9.1,1632,760.011196
21.9,893,773.355355
0.3,201,776.890178
-9.9,20,776.970375
11.4,83,778.664831
-10.2,3,778.677377
-9.4,129,780.540587
-0.1,37,780.690383
-10.2,3,780.702582
-9.2,11,780.750327
-10.1,2,780.758182
0.0,20,780.839042
-9.8,23,780.93509
-10.6,29,782.441652
12.2,545,790.135804
-10,1,790.139866
-9.5,260,793.920781
-10,1,793.924883
-10.2,3,793.936983
-10.3,8,793.968204
-10.6,275,797.930514
-10.3,210,801.586762
0.8,60,801.836007
0.9,157,805.279624
1.6,44,805.46499
20.8,156,807.482733
0.2,116,809.329035
0.1,289,813.30595
-10.1,2,813.315488
-10.0,105,815.170451
-10.1,2,815.178916
10.3,674,825.181089
-9.9,6,825.20561
11.0,77,826.900071
21.1,83,828.667554
-0.4,40,828.833469
-10.2,287,832.737918
1.1,31,834.243151
1.3,133,836.172478
